,right,cam,cam_time,rate,ctm,ctm_time,error_level
0,1,11773,2.99219012260437,0,11773,2.99219012260437,0
1,1,12780,2.99219012260437,0,12780,2.99219012260437,0
2,1,11863,2.99219012260437,0,11863,2.99219012260437,0
3,1,7652,2.99219012260437,0,7652,2.99219012260437,0
4,1,5646,2.99219012260437,0,5646,2.99219012260437,0
5,1,11738,2.99219012260437,0,11738,2.99219012260437,0
6,1,10059,2.99219012260437,0,10059,2.99219012260437,0
7,1,8485,2.99219012260437,0,8485,2.99219012260437,0
8,1,10384,2.99219012260437,0,10384,2.99219012260437,0
9,1,11184,2.99219012260437,0,11184,2.99219012260437,0
10,1,7099,2.99219012260437,0,7099,2.99219012260437,0
11,1,7770,2.99219012260437,0,7770,2.99219012260437,0
12,1,2672,2.99219012260437,0,2672,2.99219012260437,0
13,1,12406,2.99219012260437,0,12406,2.99219012260437,0
14,1,7731,2.99219012260437,0,7731,2.99219012260437,0
15,1,13275,2.99219012260437,0,13275,2.99219012260437,0
16,1,14233,2.99219012260437,0,14233,2.99219012260437,0
17,0,1618,2.99219012260437,0,1618,2.99219012260437,5
18,1,16264,2.99219012260437,0,16264,2.99219012260437,0
19,1,12699,2.99219012260437,0,12699,2.99219012260437,0
20,1,9166,2.99219012260437,0,9166,2.99219012260437,0
21,1,5208,2.99219012260437,0,5208,2.99219012260437,0
22,1,10957,2.99219012260437,0,10957,2.99219012260437,0
23,1,3105,2.99219012260437,0,3105,2.99219012260437,0
24,1,11864,2.99219012260437,0,11864,2.99219012260437,0
25,0,3385,2.99219012260437,0,3385,2.99219012260437,10
26,1,6728,2.99219012260437,0,6728,2.99219012260437,0
27,1,8443,2.99219012260437,0,8443,2.99219012260437,0
28,1,10788,2.99219012260437,0,10788,2.99219012260437,0
29,1,14547,2.99219012260437,0,14547,2.99219012260437,0
30,1,15007,2.99219012260437,0,15007,2.99219012260437,0
31,1,13779,2.99219012260437,0,13779,2.99219012260437,0
32,1,5774,2.99219012260437,0,5774,2.99219012260437,0
33,1,15521,2.99219012260437,0,15521,2.99219012260437,0
34,1,14370,2.99219012260437,0,14370,2.99219012260437,0
35,1,7483,2.99219012260437,0,7483,2.99219012260437,0
